argouml-0.34, ModeCreateEdgeAndNodeWithComposition, 7, 8, argouml/argouml-0.34/src/argouml/src/argouml-app/src/org/argouml/uml/diagram/static_structure/ui/SelectionClass.java
argouml-0.34, UMLValueSpecificationValueFieldOpaqueExpressionDialog, 7, 364, argouml/argouml-0.34/src/argouml/src/argouml-core-umlpropertypanels/src/org/argouml/core/propertypanels/ui/UMLValueSpecificationValueFieldOpaqueExpressionDialog.java
argouml-0.34, UMLAssociationRoleAssociationEndRoleListModel, 7, 13, argouml/argouml-0.34/src/argouml/src/argouml-core-umlpropertypanels/src/org/argouml/core/propertypanels/ui/UMLAssociationRoleAssociationEndRoleListModel.java
argouml-0.34, UMLTemplateParameterDefaultElementComboBoxModel, 7, 55, argouml/argouml-0.34/src/argouml/src/argouml-core-umlpropertypanels/src/org/argouml/core/propertypanels/ui/UMLTemplateParameterDefaultElementComboBoxModel.java
argouml-0.34, CrSingletonViolatedOnlyPrivateConstructors, 6, 69, argouml/argouml-0.34/src/argouml/src/argouml-app/src/org/argouml/pattern/cognitive/critics/CrSingletonViolatedOnlyPrivateConstructors.java
argouml-0.34, GoListToGoalsToItems, 6, 82, argouml/argouml-0.34/src/argouml/src/argouml-app/src/org/argouml/cognitive/ui/GoListToGoalsToItems.java
argouml-0.34, UMLTemplateParameterParameterComboBoxModel, 6, 58, argouml/argouml-0.34/src/argouml/src/argouml-core-umlpropertypanels/src/org/argouml/core/propertypanels/ui/UMLTemplateParameterParameterComboBoxModel.java
argouml-0.34, UMLModelElementVisibilityRadioButtonPanel, 6, 56, argouml/argouml-0.34/src/argouml/src/argouml-app/src/org/argouml/uml/ui/foundation/core/UMLModelElementVisibilityRadioButtonPanel.java
argouml-0.34, GoListToPriorityToItem, 6, 76, argouml/argouml-0.34/src/argouml/src/argouml-app/src/org/argouml/cognitive/ui/GoListToPriorityToItem.java
aspectj-1.6.9, HasThisTypePatternTriedToSneakInSomeGenericOrParameterizedTypePatternMatchingStuffAnywhereVisitor, 18, 23, aspectj/aspectj-1.6.9/src/org/aspectj/weaver/patterns/HasThisTypePatternTriedToSneakInSomeGenericOrParameterizedTypePatternMatchingStuffAnywhereVisitor.java
aspectj-1.6.9, UnwovenClassFileWithThirdPartyManagedBytecode, 8, 7, aspectj/aspectj-1.6.9/src/org/aspectj/weaver/bcel/UnwovenClassFileWithThirdPartyManagedBytecode.java
aspectj-1.6.9, ThrownFormalNotDeclaredInAdviceSignatureException, 8, 6, aspectj/aspectj-1.6.9/src/org/aspectj/weaver/bcel/AtAjAttributes.java
aspectj-1.6.9, ReturningFormalNotDeclaredInAdviceSignatureException, 8, 6, aspectj/aspectj-1.6.9/src/org/aspectj/weaver/bcel/AtAjAttributes.java
aspectj-1.6.9, JavaLangTypeToResolvedTypeConverter, 7, 98, aspectj/aspectj-1.6.9/src/org/aspectj/weaver/reflect/JavaLangTypeToResolvedTypeConverter.java
aspectj-1.6.9, SelectionOnNameOfMemberValuePair, 7, 17, aspectj/aspectj-1.6.9/src/org/aspectj/org/eclipse/jdt/internal/codeassist/select/SelectionOnNameOfMemberValuePair.java
aspectj-1.6.9, CheckBoxSelectionMenuActionListener, 6, 51, aspectj/aspectj-1.6.9/src/org/aspectj/ajde/ui/swing/BrowserStructureViewToolPanel.java
aspectj-1.6.9, TypePatternBasedPerClauseImpl, 6, 10, aspectj/aspectj-1.6.9/src/org/aspectj/internal/lang/reflect/TypePatternBasedPerClauseImpl.java
aspectj-1.6.9, CompletionOnParameterizedQualifiedTypeReference, 6, 85, aspectj/aspectj-1.6.9/src/org/aspectj/org/eclipse/jdt/internal/codeassist/complete/CompletionOnParameterizedQualifiedTypeReference.java
